snapshot_t,n_rows,sub_feature,mean_abs_shap
2026-07-31,6873,Vincent RA - Recent Conversation Opened,0.415
2026-07-31,6873,Text Editor Opened,0.307
2026-07-31,6873,Text Editor Updated,0.28
2026-07-31,6873,Vincent RA - Document upload,0.209
2026-07-31,6873,Matter - AI Action Viewed,0.148
2026-07-31,6873,Vincent RA - Legal Authorities Tab Viewed,0.125
2026-07-31,6873,Vincent RA - New Conversation Started,0.116
2026-07-31,6873,Workflow: others,0.109
2026-07-31,6873,Manage - Recent Work Conversation Opened,0.102
2026-07-31,6873,Vincent RA - Legal Authorities Tab Closed,0.08
2026-06-30,4939,Vincent RA - Recent Conversation Opened,0.422
2026-06-30,4939,Text Editor Opened,0.307
2026-06-30,4939,Text Editor Updated,0.281
2026-06-30,4939,Vincent RA - Document upload,0.213
2026-06-30,4939,Matter - AI Action Viewed,0.153
2026-06-30,4939,Vincent RA - New Conversation Started,0.118
2026-06-30,4939,Vincent RA - Legal Authorities Tab Viewed,0.114
2026-06-30,4939,Workflow: others,0.11
2026-06-30,4939,Manage - Recent Work Conversation Opened,0.101
2026-06-30,4939,Task: free_form_message,0.08
2026-05-31,4037,Vincent RA - Recent Conversation Opened,0.428
2026-05-31,4037,Text Editor Opened,0.314
2026-05-31,4037,Text Editor Updated,0.288
2026-05-31,4037,Vincent RA - Document upload,0.212
2026-05-31,4037,Vincent RA - Legal Authorities Tab Viewed,0.146
2026-05-31,4037,Matter - AI Action Viewed,0.143
2026-05-31,4037,Vincent RA - New Conversation Started,0.119
2026-05-31,4037,Workflow: others,0.111
2026-05-31,4037,Manage - Recent Work Conversation Opened,0.101
2026-05-31,4037,Task: free_form_message,0.085
2026-04-30,3063,Vincent RA - Recent Conversation Opened,0.41
2026-04-30,3063,Text Editor Opened,0.329
2026-04-30,3063,Text Editor Updated,0.298
2026-04-30,3063,Vincent RA - Document upload,0.213
2026-04-30,3063,Matter - AI Action Viewed,0.142
2026-04-30,3063,Vincent RA - Legal Authorities Tab Viewed,0.128
2026-04-30,3063,Vincent RA - New Conversation Started,0.118
2026-04-30,3063,Workflow: others,0.117
2026-04-30,3063,Manage - Recent Work Conversation Opened,0.103
2026-04-30,3063,Task: free_form_message,0.099
