sub_feature_a,sub_feature_b,mean_abs_interaction
Vincent RA - Recent Conversation Opened,Text Editor Opened,0.07445424050092697
Vincent RA - Legal Authorities Tab Viewed,Text Editor Updated,0.06528621166944504
Vincent RA - Recent Conversation Opened,Vincent RA - Legal Authorities Tab Viewed,0.053559720516204834
Text Editor Updated,Vincent RA - Document upload,0.04894394427537918
Matter - AI Action Viewed,Work - Work Opened,0.04791533946990967
Vincent RA - Legal Authorities Tab Viewed,Manage - Recent Work Conversation Opened,0.04671676456928253
Vincent RA - Recent Conversation Opened,Text Editor Updated,0.04634961485862732
Manage - Recent Work Conversation Opened,Vincent RA - Document upload,0.04284868389368057
Workflow: default,Matter - AI Action Generated,0.037760842591524124
Vincent RA - Legal Authorities Tab Viewed,Workflow: default,0.03735887259244919
Text Editor Opened,Manage - Recent Work Conversation Opened,0.035911012440919876
Vincent RA - Recent Conversation Opened,Vincent RA - New Conversation Started,0.03541872650384903
Vincent RA - Legal Authorities Tab Viewed,Text Editor Opened,0.03431269899010658
Vincent RA - Recent Conversation Opened,Workflow: default,0.03386307135224342
Vincent RA - New Conversation Started,Vincent RA - Task submission,0.03298810124397278
Vincent RA - Query Classification,Workflow: others,0.03118140436708927
Vincent RA - Document upload,Matter - AI Action Generated,0.031022366136312485
Vincent RA - Recent Conversation Opened,Work - Work Opened (Excludes App Switcher),0.029014959931373596
Text Editor Opened,Vincent RA - Task submission,0.026827266439795494
Text Editor Opened,Vincent RA - Document upload,0.026785239577293396
Vincent RA - Legal Authorities Tab Viewed,Matter - AI Action Viewed,0.02667783387005329
Vincent RA - Recent Conversation Opened,Manage - Recent Work Conversation Opened,0.024806570261716843
Vincent RA - New Conversation Started,Vincent RA - Jurisdiction Selected,0.024393655359745026
Vincent RA - Task submission,Matter - AI Action Generated,0.024148060008883476
Text Editor Opened,Text Editor Updated,0.0237793680280447
Text Editor Opened,Workflow: default,0.0227917842566967
Text Editor Opened,Work - Work Opened (Excludes App Switcher),0.022709062322974205
